Land_Class,Outcome,Pretrend_Slope_Per_Year,HAC_SE,CI95_Lower,CI95_Upper,P_Value,Significance,N_Pre_Years,Pre_Years,HAC_MaxLag
Cropland,NDVI,0.0000,0.0011,-0.0027,0.0028,0.9813,,8,2003-2010,1
Cropland,NDMI,-0.0015,0.0005,-0.0027,-0.0003,0.0237,**,8,2003-2010,1
Cropland,EVI,-0.0048,0.0010,-0.0071,-0.0024,0.0026,***,8,2003-2010,1
Cropland,NBR,-0.0015,0.0004,-0.0025,-0.0005,0.0088,***,8,2003-2010,1
Forest,NDVI,0.0018,0.0011,-0.0008,0.0044,0.1407,,8,2003-2010,1
Forest,NDMI,-0.0001,0.0007,-0.0018,0.0017,0.9200,,8,2003-2010,1
Forest,EVI,-0.0010,0.0008,-0.0030,0.0009,0.2384,,8,2003-2010,1
Forest,NBR,0.0012,0.0009,-0.0009,0.0034,0.2061,,8,2003-2010,1
Grassland,NDVI,0.0018,0.0008,-0.0002,0.0037,0.0669,*,8,2003-2010,1
Grassland,NDMI,-0.0002,0.0006,-0.0016,0.0012,0.7165,,8,2003-2010,1
Grassland,EVI,0.0002,0.0007,-0.0016,0.0021,0.7516,,8,2003-2010,1
Grassland,NBR,0.0008,0.0005,-0.0004,0.0020,0.1589,,8,2003-2010,1
Paddy,NDVI,0.0002,0.0040,-0.0094,0.0099,0.9526,,8,2003-2010,1
Paddy,NDMI,-0.0001,0.0020,-0.0050,0.0047,0.9494,,8,2003-2010,1
Paddy,EVI,-0.0069,0.0033,-0.0149,0.0011,0.0785,*,8,2003-2010,1
Paddy,NBR,0.0000,0.0026,-0.0064,0.0065,0.9956,,8,2003-2010,1
Urban,NDVI,-0.0042,0.0007,-0.0059,-0.0025,0.0009,***,8,2003-2010,1
Urban,NDMI,-0.0044,0.0006,-0.0060,-0.0028,0.0005,***,8,2003-2010,1
Urban,EVI,-0.0056,0.0009,-0.0078,-0.0035,0.0006,***,8,2003-2010,1
Urban,NBR,-0.0059,0.0004,-0.0069,-0.0048,0.0000,***,8,2003-2010,1
Pooled_equal_weight,NDVI,-0.0001,0.0012,-0.0029,0.0028,0.9510,,8,2003-2010,1
Pooled_equal_weight,NDMI,-0.0013,0.0006,-0.0028,0.0002,0.0854,*,8,2003-2010,1
Pooled_equal_weight,EVI,-0.0036,0.0010,-0.0061,-0.0012,0.0112,**,8,2003-2010,1
Pooled_equal_weight,NBR,-0.0011,0.0008,-0.0029,0.0008,0.2100,,8,2003-2010,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Pre-trend,95% CI,P value,,,
Cropland,-0.0027,0.0028,Cropland,NDVI,0.0002,-0.0094～0.0099,0.9526,,,
Cropland,-0.0027,-0.0003,Cropland,NDMI,-0.0001,-0.005～0.0047,0.9494,,,
Cropland,-0.0071,-0.0024,Cropland,EVI,-0.0069,-0.0149～0.0011,0.0785,,,
Cropland,-0.0025,-0.0005,Cropland,NBR,0.0000,-0.0064～0.0065,0.9956,,,
Forest,-0.0008,0.0044,Forest,NDVI,0.0000,-0.0027～0.0028,0.9813,,,
Forest,-0.0018,0.0017,Forest,NDMI,-0.0015,-0.0027～-0.0003,0.0237,,,
Forest,-0.0030,0.0009,Forest,EVI,-0.0048,-0.0071～-0.0024,0.0026,,,
Forest,-0.0009,0.0034,Forest,NBR,-0.0015,-0.0025～-0.0005,0.0088,,,
Grassland,-0.0002,0.0037,Grassland,NDVI,0.0018,-0.0008～0.0044,0.1407,,,
Grassland,-0.0016,0.0012,Grassland,NDMI,-0.0001,-0.0018～0.0017,0.9200,,,
Grassland,-0.0016,0.0021,Grassland,EVI,-0.0010,-0.003～0.0009,0.2384,,,
Grassland,-0.0004,0.0020,Grassland,NBR,0.0012,-0.0009～0.0034,0.2061,,,
Paddy,-0.0094,0.0099,Paddy,NDVI,0.0018,-0.0002～0.0037,0.0669,,,
Paddy,-0.0050,0.0047,Paddy,NDMI,-0.0002,-0.0016～0.0012,0.7165,,,
Paddy,-0.0149,0.0011,Paddy,EVI,0.0002,-0.0016～0.0021,0.7516,,,
Paddy,-0.0064,0.0065,Paddy,NBR,0.0008,-0.0004～0.002,0.1589,,,
Urban,-0.0059,-0.0025,Urban,NDVI,-0.0042,-0.0059～-0.0025,0.0009,,,
Urban,-0.0060,-0.0028,Urban,NDMI,-0.0044,-0.006～-0.0028,0.0005,,,
Urban,-0.0078,-0.0035,Urban,EVI,-0.0056,-0.0078～-0.0035,0.0006,,,
Urban,-0.0069,-0.0048,Urban,NBR,-0.0059,-0.0069～-0.0048,0.0000,,,
Pooled_equal_weight,-0.0029,0.0028,Pooled_equal_weight,NDVI,-0.0001,-0.0029～0.0028,0.9510,,,
Pooled_equal_weight,-0.0028,0.0002,Pooled_equal_weight,NDMI,-0.0013,-0.0028～0.0002,0.0854,,,
Pooled_equal_weight,-0.0061,-0.0012,Pooled_equal_weight,EVI,-0.0036,-0.0061～-0.0012,0.0112,,,
Pooled_equal_weight,-0.0029,0.0008,Pooled_equal_weight,NBR,-0.0011,-0.0029～0.0008,0.2100,,,
